Laptop (ID),Tech price by country,Laptop type price,Sceen size (inches),Resolution quality,CPU (GHz),Ram (GB),GPU (GHz),Weight (kg),Price (euros),Touchscreen,IPS Panel,Retina Display,Flash Storage memory (GB),SSD memory (GB),HDD memory (GB),Hybrid memory (GB),Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS
597,0,2,15.6,0,2.5,8,0.3,2.2,739.0,1,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
1173,4,1,15.6,1,2.5,4,1.03,1.91,478.89,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
1274,0,5,17.3,1,2.6,16,0.92,4.0,1900.0,0,1,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
252,0,5,17.3,1,2.9,16,1.57,3.6,2999.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
15,4,3,12.0,2,1.2,8,0.3,0.92,1262.4,0,1,1,0,256,0,0,0,0,0,0,0,0,0,0,1
719,4,1,14.0,1,2.8,8,0.95,1.64,1089.0,0,0,0,0,256,0,0,0,0,1,0,0,0,0,0,0
1214,2,1,15.6,0,2.0,4,0.96,1.9,368.0,0,0,0,0,0,1000,0,0,0,0,0,1,0,0,0,0
601,2,1,17.3,1,2.0,4,0.3,2.8,529.0,0,0,0,0,0,500,0,0,0,0,0,1,0,0,0,0
303,2,1,15.6,1,2.4,6,0.96,2.4,499.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
446,0,1,15.6,1,2.5,4,0.3,2.0,559.0,0,0,0,0,256,0,0,0,0,1,0,0,0,0,0,0
1083,4,5,15.6,4,2.6,16,0.92,3.21,1329.0,0,0,0,0,256,1000,0,0,0,0,0,0,1,0,0,0
1308,4,1,15.6,0,2.4,6,0.3,2.3,459.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
1177,4,2,13.3,3,2.6,8,0.3,1.48,2041.0,1,0,0,0,512,0,0,0,0,0,0,0,1,0,0,0
354,0,2,11.6,0,1.1,4,0.3,1.5,375.0,1,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0
1039,4,3,12.5,0,2.5,4,0.3,1.26,1559.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
260,4,3,13.3,1,1.6,8,0.3,1.41,949.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
520,4,1,15.6,1,1.8,16,1.02,2.2,1219.24,0,0,0,0,256,2000,0,0,0,0,0,0,1,0,0,0
444,4,3,12.3,2,1.3,16,0.3,1.1,2199.0,1,0,0,0,512,0,0,0,1,0,0,0,0,0,0,0
724,4,1,15.6,1,2.6,8,0.3,1.9,1179.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
800,0,1,14.0,1,1.1,4,0.3,1.22,202.9,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0
108,4,1,14.0,1,2.5,6,1.12,1.58,659.0,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
620,4,1,15.6,0,2.0,4,0.3,2.25,359.0,0,0,0,0,0,1000,0,0,0,1,0,0,0,0,0,0
499,0,5,15.6,1,2.8,8,1.35,1.99,1350.0,0,0,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
869,4,1,13.3,1,2.3,8,0.3,1.62,649.0,1,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
268,4,1,15.6,1,2.5,4,0.3,2.18,657.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
1236,2,5,15.6,1,2.6,8,1.13,2.6,1272.0,0,1,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
209,2,5,15.6,1,2.8,16,1.4,2.4,1398.0,0,0,0,0,512,0,0,0,0,0,0,1,0,0,0,0
767,4,5,15.6,4,2.8,16,1.44,4.42,2868.99,0,1,0,0,256,1000,0,0,0,0,0,0,1,0,0,0
28,4,1,15.6,1,1.6,8,1.02,2.2,800.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
752,2,4,15.6,4,2.8,16,0.76,2.5,3299.0,0,1,0,0,1000,0,0,0,0,0,0,0,1,0,0,0
332,0,1,15.6,0,2.5,6,0.3,2.23,549.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
64,0,1,14.0,1,1.6,8,0.3,1.4,941.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
776,4,5,15.6,4,2.6,16,1.1,2.72,1099.0,1,1,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
73,4,3,13.3,1,1.8,8,1.02,1.4,955.0,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
862,0,5,15.6,1,2.8,16,1.4,2.1,1899.0,0,0,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
666,2,5,15.6,1,2.6,8,1.13,3.31,1196.0,0,1,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
356,4,1,15.6,4,2.8,16,1.35,2.06,2027.42,1,0,0,0,512,0,0,0,0,0,0,0,1,0,0,0
910,4,1,15.6,0,2.0,4,0.78,2.18,614.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
588,4,1,15.6,0,2.6,8,0.3,1.9,1008.52,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
